Name,Leader,Unit
Yasuhide Yurihara,Leaders%20Ta%203f9c1/%E6%A0%97%E5%8E%9F%E5%AE%89%E7%A7%80%209d7fd.md,Unit%20Table%20c41b2/PM%20Assassi%2091c1a.md
Katsuo Tsuma,Leaders%20Ta%203f9c1/%E5%AF%BE%E9%A6%AC%E5%8B%9D%E9%9B%84%20af364.md,Unit%20Table%20c41b2/PM%20Assassi%2091c1a.md
Takeshima Tsuguo,Leaders%20Ta%203f9c1/%E7%AB%B9%E5%B3%B6%E7%B6%99%E5%A4%AB%206e1c9.md,Unit%20Table%20c41b2/PM%20Assassi%2091c1a.md
Toshihiko Ikeda,Leaders%20Ta%203f9c1/%E6%B1%A0%E7%94%B0%E4%BF%8A%E5%BD%A6%20217eb.md,Unit%20Table%20c41b2/PM%20Assassi%2091c1a.md
Hachiro Hayashi,Leaders%20Ta%203f9c1/%E6%9E%97%E5%85%AB%E9%83%8E%200005c.md,Unit%20Table%20c41b2/PM%20Assassi%2091c1a.md
Motoaki Nakahashi,Leaders%20Ta%203f9c1/%E4%B8%AD%E6%A9%8B%E5%9F%BA%E6%98%8E%203f9f9.md,Unit%20Table%20c41b2/Takahashi%20%20a1209.md
Nakajima Kaner,Leaders%20Ta%203f9c1/%E4%B8%AD%E5%B3%B6%E8%8E%9E%E7%88%BE%20ea408.md,Unit%20Table%20c41b2/Takahashi%20%20a1209.md
Nao Sakai,Leaders%20Ta%203f9c1/%E5%9D%82%E4%BA%95%E7%9B%B4%20d298a.md,Unit%20Table%20c41b2/Saito%CC%84%20Mak%2051982.md
Taro Takahashi,Leaders%20Ta%203f9c1/%E9%AB%98%E6%A9%8B%E5%A4%AA%E9%83%8E%20aea86.md,Unit%20Table%20c41b2/Saito%CC%84%20Mak%2051982.md
Yutaka Yasuda,Leaders%20Ta%203f9c1/%E5%AE%89%E7%94%B0%E5%84%AA%20da12a.md,Unit%20Table%20c41b2/Saito%CC%84%20Mak%2051982.md
Teruzo Ando,Leaders%20Ta%203f9c1/%E5%AE%89%E8%97%A4%E8%BC%9D%E4%B8%89%2062325.md,Unit%20Table%20c41b2/Kantaro%CC%84%20S%204bf4b.md
Makoto Tanyu,Leaders%20Ta%203f9c1/%E4%B8%B9%E7%94%9F%E8%AA%A0%E5%BF%A0%20dc073.md,Unit%20Table%20c41b2/Ministry%20o%2052c9c.md
Kiyosada Kōda,Leaders%20Ta%203f9c1/%E9%A6%99%E7%94%B0%E6%B8%85%E8%B2%9E%20f773f.md,Unit%20Table%20c41b2/Ministry%20o%2052c9c.md
Mata Yamamoto,Leaders%20Ta%203f9c1/%E5%B1%B1%E6%9C%AC%E5%8F%88%2002e4d.md,Unit%20Table%20c41b2/Ministry%20o%2052c9c.md
Takaji Muranaka,Leaders%20Ta%203f9c1/%E6%9D%91%E4%B8%AD%E5%AD%9D%E6%AC%A1%20223eb.md,Unit%20Table%20c41b2/Ministry%20o%2052c9c.md
Asaichi Isobe,Leaders%20Ta%203f9c1/%E7%A3%AF%E9%83%A8%E6%B5%85%E4%B8%80%20dbd61.md,Unit%20Table%20c41b2/Ministry%20o%2052c9c.md
Shirou Nonaka,Leaders%20Ta%203f9c1/%E9%87%8E%E4%B8%AD%E5%9B%9B%E9%83%8E%20f1718.md,Unit%20Table%20c41b2/Tokyo%20Metr%20e7e95.md
Minoru Tokiwa,Leaders%20Ta%203f9c1/%E5%B8%B8%E7%9B%A4%E7%A8%94%20d6004.md,Unit%20Table%20c41b2/Tokyo%20Metr%20e7e95.md
Suzuki Goro,Leaders%20Ta%203f9c1/%E9%88%B4%E6%9C%A8%E4%BA%94%E9%83%8E%2029169.md,Unit%20Table%20c41b2/Tokyo%20Metr%20e7e95.md
Yasuhira Kiyohara,Leaders%20Ta%203f9c1/%E6%B8%85%E5%8E%9F%E5%BA%B7%E5%B9%B3%2060602.md,Unit%20Table%20c41b2/Tokyo%20Metr%20e7e95.md
Hisashi Kono,Leaders%20Ta%203f9c1/%E6%B2%B3%E9%87%8E%E5%A3%BD%208e69b.md,Unit%20Table%20c41b2/Makino%20Nob%207553e.md
