English,Name,Tags,Tags_Jap,Portrait,Job,Job_Jap
Emperor Shōwa (Hirohito),昭和天皇 (裕仁),,,Celebritie%20bddd6/Emperor_Showa.png,Emperor,天皇
"Yasuhito, Prince Chichibu",秩父宮雍仁親王,,,Celebritie%20bddd6/Yasuhito.jpg,,
Sadao Araki,荒木貞夫,Kōdōha,皇道派,Celebritie%20bddd6/Araki_Sadao.png,,
Jinzaburō Masaki,真崎甚三郎,Kōdōha,皇道派,Celebritie%20bddd6/Masaki_Jinzaburo.png,,
Yoshiyuki Kawashima,川島義之,,,Celebritie%20bddd6/Kawashima_Yoshiyuki.png,Army Minister,陸軍大臣
Hajime Sugiyama,杉山元,Tōseiha,統制派,Celebritie%20bddd6/Sugiyama_Hajime.jpg,Vice Chief of Staff,参謀次長
Kōhei Kashii,香椎浩平,,,Celebritie%20bddd6/Kashii_Kohei.jpg,Tokyo Security Commander,東京警備司令官兼東部防衛司令官
Mineo Ōsumi,大角岑生,,,Celebritie%20bddd6/Mineo_Oosumi.jpg,Minister of the Navy,海軍大臣
